word,freq
would,42
think,39
well,36
people,33
donald,30
know,28
going,27
need,23
us,22
one,22
really,20
want,20
lot,18
said,18
jobs,17
good,17
country,16
make,16
tax,16
get,16
business,15
work,15
got,15
new,14
economy,13
also,13
let,13
go,13
many,11
american,11
no,11
police,11
nuclear,11
kind,10
see,10
important,10
put,10
actually,10
million,10
look,10
communities,10
deal,9
say,9
information,9
iran,9
first,8
support,8
wealthy,8
world,8
plan,8
fact,8
ever,8
years,8
back,8
debt,8
isis,8
things,8
president,8
talk,8
working,8
