speaker,speechText,startInd,endInd,interrupted,numWords,numChars,numSents,avgWordLen,avgSentLen,sentiment
RADDATZ,"Ladies and gentlemen the Republican nominee for president, Donald J. Trump, and the Democratic nominee for president, Hillary Clinton.",0,143,0,19,112,1,5.894736842105263,19.0,0.0
COOPER,"Thank you very much for being here. We're going to begin with a question from one of the members in our town hall. Each of you will have two minutes to respond to this question. Secretary Clinton, you won the coin toss, so you'll go first. Our first question comes from Patrice Brock. Patrice?",144,445,0,56,232,6,4.142857142857143,9.333333333333334,0.7351
QUESTION,"Thank you, and good evening. The last debate could have been rated as MA, mature audiences, per TV parental guidelines. Knowing that educators assign viewing the presidential debates as students' homework, do you feel you're modeling appropriate and positive behavior for today's youth?",446,742,0,45,236,3,5.2444444444444445,15.0,0.8957
CLINTON,"Well, thank you. Are you a teacher? Yes, I think that that's a very good question, because I've heard from lots of teachers and parents about some of their concerns about some of the things that are being said and done in this campaign. And I think it is very important for us to make clear to our children that our country really is great because we're good. And we are going to respect one another, lift each other up. We are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every adult, to bring them into working on behalf of our country. I have a very positive and optimistic view about what we can do together. That's why the slogan of my campaign is ""Stronger Together,"" because I think if we work together, if we overcome the divisiveness that sometimes sets Americans against one another, and instead we make some big goals--and I've set forth some big goals, getting the economy to work for everyone, not just those at the top, making sure that we have the best education system from preschool through college and making it affordable, and so much else. If we set those goals and we go together to try to achieve them, there's nothing in my opinion that America can't do. So that's why I hope that we will come together in this campaign. Obviously, I'm hoping to earn your vote, I'm hoping to be elected in November, and I can promise you, I will work with every American. I want to be the president for all Americans, regardless of your political beliefs, where you come from, what you look like, your religion. I want us to heal our country and bring it together because that's, I think, the best way for us to get the future that our children and our grandchildren deserve.",743,2517,0,339,1397,13,4.12094395280236,26.076923076923077,0.9962
COOPER,"Secretary Clinton, thank you. Mr. Trump, you have two minutes.",2518,2588,0,10,49,2,4.9,5.0,0.3612
TRUMP,"Well, I actually agree with that. I agree with everything she said. I began this campaign because I was so tired of seeing such foolish things happen to our country. This is a great country. This is a great land. I've gotten to know the people of the country over the last year-and-a-half that I've been doing this as a politician. I cannot believe I'm saying that about myself, but I guess I have been a politician.",2589,3012,0,81,331,7,4.08641975308642,11.571428571428571,0.6404
TRUMP,"And my whole concept was to make America great again. When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years ago. When I look at all of the things that I see and all of the potential that our country has, we have such tremendous potential, whether it's in business and trade, where we're doing so badly. Last year, we had almost $800 billion trade deficit. In other words, trading with other countries. We had an $800 billion deficit. It's hard to believe. Inconceivable. You say who's making these deals? We're going the make great deals. We're going to have a strong border. We're going to bring back law and order. Just today, policemen was shot, two killed. And this is happening on a weekly basis. We have to bring back respect to law enforcement. At the same time, we have to take care of people on all sides. We need justice. But I want to do things that haven't been done, including fixing and making our inner cities better for the African-American citizens that are so great, and for the Latinos, Hispanics, and I look forward to doing it. It's called make America great again.",3013,4554,0,289,1215,19,4.204152249134948,15.210526315789474,0.8937
COOPER,"Thank you, Mr. Trump. The question from Patrice was about are you both modeling positive and appropriate behavior for today's youth? We received a lot of questions online, Mr. Trump, about the tape that was released on Friday, as you can imagine. You called what you said locker room banter. You described kissing women without consent, grabbing their genitals. That is sexual assault. You bragged that you have sexually assaulted women. Do you understand that?",4555,5024,0,76,374,8,4.921052631578948,9.5,0.3169
TRUMP,"No, I didn't say that at all. I don't think you understood what was--this was locker room talk. I'm not proud of it. I apologize to my family. I apologize to the American people. Certainly I'm not proud of it. But this is locker room talk. You know, when we have a world where you have ISIS chopping off heads, where you have--and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times. We haven't seen anything like this, the carnage all over the world. And they look and they see. Can you imagine the people that are, frankly, doing so well against us with ISIS? And they look at our country and they see what's going on. Yes, I'm very embarrassed by it. I hate it. But it's locker room talk, and it's one of those things. I will knock the hell out of ISIS. We're going to defeat ISIS. ISIS happened a number of years ago in a vacuum that was left because of bad judgment. And I will tell you, I will take care of ISIS.",5025,6073,0,210,806,19,3.8380952380952382,11.052631578947368,-0.9733
COOPER,"So, Mr. Trump...",6074,6098,1,3,10,1,3.3333333333333335,3.0,0.0
TRUMP,And we should get on to much more important things and much bigger things.,6099,6180,0,14,60,1,4.285714285714286,14.0,0.2716
COOPER,"Just for the record, though, are you saying that what you said on that bus 11 years ago that you did not actually kiss women without consent or grope women without consent?",6181,6361,0,32,138,1,4.3125,32.0,-0.5667
TRUMP,I have great respect for women. Nobody has more respect for women than I do.,6362,6445,0,15,60,2,4.0,7.5,0.8834
COOPER,"So, for the record, you're saying you never did that?",6446,6507,0,11,41,1,3.727272727272727,11.0,0.0
TRUMP,"I've said things that, frankly, you hear these things I said. And I was embarrassed by it. But I have tremendous respect for women.",6508,6646,0,25,103,3,4.12,8.333333333333334,0.1531
COOPER,Have you ever done those things?,6647,6687,0,6,26,1,4.333333333333333,6.0,0.0
TRUMP,"And women have respect for me. And I will tell you: No, I have not. And I will tell you that I'm going to make our country safe. We're going to have borders in our country, which we don't have now. People are pouring into our country, and they're coming in from the Middle East and other places. We're going to make America safe again. We're going to make America great again, but we're going to make America safe again. And we're going to make America wealthy again, because if you don't do that, it just--it sounds harsh to say, but we have to build up the wealth of our nation.",6688,7275,0,121,452,8,3.7355371900826446,15.125,0.9253
COOPER,"Thank you, Mr. Trump.",7276,7305,0,4,16,1,4.0,4.0,0.3612
TRUMP,"Right now, other nations are taking our jobs and they're taking our wealth.",7306,7388,0,14,61,1,4.357142857142857,14.0,0.4939
COOPER,"Thank you, Mr. Trump.",7389,7418,0,4,16,1,4.0,4.0,0.3612
TRUMP,And that's what I want to talk about.,7419,7463,0,9,29,1,3.2222222222222223,9.0,0.0772
COOPER,"Secretary Clinton, do you want to respond?",7464,7514,0,7,34,1,4.857142857142857,7.0,0.0772
CLINTON,"Well, like everyone else, I've spent a lot of time thinking over the last 48 hours about what we heard and saw. You know, with prior Republican nominees for president, I disagreed with them on politics, policies, principles, but I never questioned their fitness to serve. Donald Trump is different. I said starting back in June that he was not fit to be president and commander-in-chief. And many Republicans and independents have said the same thing. What we all saw and heard on Friday was Donald talking about women, what he thinks about women, what he does to women. And he has said that the video doesn't represent who he is. But I think it's clear to anyone who heard it that it represents exactly who he is. Because we've seen this throughout the campaign. We have seen him insult women. We've seen him rate women on their appearance, ranking them from one to ten. We've seen him embarrass women on TV and on Twitter. We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms. So, yes, this is who Donald Trump is. But it's not only women, and it's not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African- Americans, Latinos, people with disabilities, POWs, Muslims, and so many others. So this is who Donald Trump is. And the question for us, the question our country must answer is that this is not who we are. That's why--to go back to your question--I want to send a message--we all should--to every boy and girl and, indeed, to the entire world that America already is great, but we are great because we are good, and we will respect one another, and we will work with one another, and we will celebrate our diversity.",7515,9296,0,329,1403,18,4.264437689969605,18.27777777777778,0.9492
CLINTON,"These are very important values to me, because this is the America that I know and love. And I can pledge to you tonight that this is the America that I will serve if I'm so fortunate enough to become your president.",9297,9522,0,43,172,2,4.0,21.5,0.9188
RADDATZ,And we want to get to some questions from online...,9523,9583,1,10,39,1,3.9,10.0,0.0772
TRUMP,Am I allowed to respond to that? I assume I am.,9584,9638,0,11,35,2,3.1818181818181817,5.5,0.0
RADDATZ,"Yes, you can respond to that.",9639,9677,0,6,22,1,3.6666666666666665,6.0,0.4019
TRUMP,"It's just words, folks. It's just words. Those words, I've been hearing them for many years. I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed. I've heard them where Hillary is constantly talking about the inner cities of our country, which are a disaster education-wise, jobwise, safety-wise, in every way possible. I'm going to help the African-Americans. I'm going to help the Latinos, Hispanics. I am going to help the inner cities. She's done a terrible job for the African-Americans. She wants their vote, and she does nothing, and then she comes back four years later. We saw that firsthand when she was United States senator. She campaigned where the primary part of her campaign...",9678,10467,1,141,625,12,4.432624113475177,11.75,-0.1531
RADDATZ,"Mr. Trump, Mr. Trump--I want to get to audience questions and online questions.",10468,10556,0,14,63,1,4.5,14.0,0.0772
TRUMP,"So, she's allowed to do that, but I'm not allowed to respond?",10557,10625,0,14,47,1,3.357142857142857,14.0,0.0
RADDATZ,You're going to have--you're going to get to respond right now.,10626,10698,0,14,50,1,3.5714285714285716,14.0,0.0
TRUMP,Sounds fair.,10699,10718,0,2,10,1,5.0,2.0,0.3182
RADDATZ,"This tape is generating intense interest. In just 48 hours, it's become the single most talked about story of the entire 2016 election on Facebook, with millions and millions of people discussing it on the social network. As we said a moment ago, we do want to bring in questions from voters around country via social media, and our first stays on this topic. Jeff from Ohio asks on Facebook, ""Trump says the campaign has changed him. When did that happen?"" So, Mr. Trump, let me add to that. When you walked off that bus at age 59, were you a different man or did that behavior continue until just recently? And you have two minutes for this.",10719,11371,0,119,508,8,4.26890756302521,14.875,0.6072
TRUMP,"It was locker room talk, as I told you. That was locker room talk. I'm not proud of it. I am a person who has great respect for people, for my family, for the people of this country. And certainly, I'm not proud of it. But that was something that happened. If you look at Bill Clinton, far worse. Mine are words, and his was action. His was what he's done to women. There's never been anybody in the history politics in this nation that's been so abusive to women. So you can say any way you want to say it, but Bill Clinton was abusive to women. Hillary Clinton attacked those same women and attacked them viciously. Four of them here tonight. One of the women, who is a wonderful woman, at 12 years old, was raped at 12. Her client she represented got him off, and she's seen laughing on two separate occasions, laughing at the girl who was raped. Kathy Shelton, that young woman is here with us tonight. So don't tell me about words. I am absolutely--I apologize for those words. But it is things that people say. But what President Clinton did, he was impeached, he lost his license to practice law. He had to pay an $850,000 fine to one of the women. Paula Jones, who's also here tonight. And I will tell you that when Hillary brings up a point like that and she talks about words that I said 11 years ago, I think it's disgraceful, and I think she should be ashamed of herself, if you want to know the truth. ",11372,12804,0,280,1100,23,3.9285714285714284,12.173913043478262,-0.9692
RADDATZ,"Can we please hold the applause? Secretary Clinton, you have two minutes.",12805,12887,0,12,59,2,4.916666666666667,6.0,0.6249
CLINTON,"Well, first, let me start by saying that so much of what he's just said is not right, but he gets to run his campaign any way he chooses. He gets to decide what he wants to talk about. Instead of answering people's questions, talking about our agenda, laying out the plans that we have that we think can make a better life and a better country, that's his choice. When I hear something like that, I am reminded of what my friend, Michelle Obama, advised us all: When they go low, you go high.  And, look, if this were just about one video, maybe what he's saying tonight would be understandable, but everyone can draw their own conclusions at this point about whether or not the man in the video or the man on the stage respects women. But he never apologizes for anything to anyone.",12888,13690,0,151,615,6,4.072847682119205,25.166666666666668,0.9375
CLINTON,"He never apologized to Mr. and Mrs. Khan, the Gold Star family whose son, Captain Khan, died in the line of duty in Iraq. And Donald insulted and attacked them for weeks over their religion. He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn't be trusted to be a judge because his parents were, quote, ""Mexican."" He never apologized to the reporter that he mimicked and mocked on national television and our children were watching. And he never apologized for the racist lie that President Obama was not born in the United States of America. He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words.",13691,14429,0,129,586,6,4.542635658914729,21.5,-0.9475
