word,freq
secretary,48
clinton,45
trump,42
mr.,39
question,36
thank,30
want,25
two,21
minutes,20
said,18
one,17
going,15
respond,14
time,14
audience,12
move,11
taxes,11
good,9
please,9
first,8
get,8
no,8
would,8
questions,7
let,7
aleppo,7
president,6
go,6
online,6
people,6
follow,6
americans,6
much,5
debate,5
facebook,5
millions,5
country,5
e-mails,5
allow,5
ken,5
gone,5
like,5
leader,5
donald,4
evening,4
last,4
tape,4
women,4
saying,4
years,4
asks,4
talk,4
quote,4
give,4
obamacare,4
coverage,4
candidates,4
million,4
united,4
states,4
