word,freq
trump,30
clinton,27
mr.,27
secretary,22
question,18
two,18
let,17
going,16
minutes,15
segment,14
next,11
respond,10
right,10
americans,9
move,9
president,8
american,8
want,7
presidential,7
well,7
us,7
back,7
please,7
judgment,7
new,6
tonight,6
'll,6
america,6
jobs,6
final,6
university,5
debate,5
ask,5
candidates,5
tell,5
bring,5
quickly,5
last,5
first,4
achieving,4
prosperity,4
voters,4
years,4
money,4
would,4
get,4
taxes,4
seconds,4
lot,4
tax,4
answer,4
talking,4
one,4
race,4
expired,4
good,3
evening,3
york,3
donald,3
hillary,3
