word,freq
country,53
going,47
look,44
think,38
said,37
people,36
say,32
know,30
many,28
no,27
secretary,27
get,27
one,25
years,24
want,24
would,23
like,22
well,22
clinton,22
thing,21
things,21
go,21
good,20
much,20
ca,20
'll,20
companies,20
way,20
jobs,19
really,19
new,18
money,17
tell,17
could,16
great,16
bad,16
leaving,15
us,15
tax,15
lot,15
bring,15
back,15
believe,15
world,14
agree,14
ever,14
time,14
deal,14
isis,14
got,14
take,13
right,13
wrong,13
need,13
lester,12
countries,12
let,12
better,12
trillion,12
obama,12
